angle, string length, release angle
-4.8946414,1346.0485,NaN
-4.9009247,1346.0944,NaN
-4.907208,1346.1428,NaN
-4.9134912,1346.1948,NaN
-4.9197745,1346.2411,NaN
-4.926058,1346.2932,NaN
-4.932341,1346.3477,NaN
-4.9386244,1346.4004,NaN
-4.9449077,1346.4524,NaN
-4.951191,1346.5105,NaN
-4.957474,1346.5662,NaN
-4.9637575,1346.6208,NaN
-4.970041,1346.6787,NaN
-4.976324,1346.7361,NaN
-4.9826074,1346.7976,NaN
-4.9888906,1346.8583,NaN
-4.995174,1346.9185,NaN
-5.001457,1346.9829,NaN
-5.0077405,1347.0466,NaN
-5.014024,1347.1118,NaN
-5.020307,1347.175,NaN
-5.0265903,1347.2446,NaN
-5.0328736,1347.3123,NaN
-5.039157,1347.3805,NaN
-5.04544,1347.4491,NaN
-5.0517235,1347.519,NaN
-5.058007,1347.5911,NaN
-5.06429,1347.6637,NaN
-5.0705733,1347.7383,NaN
-5.0768566,1347.8135,NaN
-5.08314,1347.8884,NaN
-5.089423,1347.9666,NaN
-5.0957065,1348.0444,NaN
-5.1019897,1348.1223,NaN
-5.108273,1348.2031,NaN
-5.1145563,1348.2836,NaN
-5.1208396,1348.3684,NaN
-5.127123,1348.4512,NaN
-5.133406,1348.5337,NaN
-5.1396894,1348.6189,NaN
-5.1459727,1348.7041,NaN
-5.152256,1348.7916,NaN
-5.1585393,1348.8799,NaN
-5.1648226,1348.9697,NaN
-5.171106,1349.0592,NaN
-5.177389,1349.1501,NaN
-5.1836724,1349.2454,NaN
-5.1899557,1349.3385,NaN
-5.196239,1349.4333,NaN
-5.2025223,1349.5277,NaN
-5.2088056,1349.626,NaN
-5.215089,1349.7233,NaN
-5.221372,1349.823,NaN
-5.2276554,1349.9224,NaN
-5.2339387,1350.0225,NaN
-5.240222,1350.1248,NaN
-5.2465053,1350.229,NaN
-5.2527885,1350.334,NaN
-5.259072,1350.4395,NaN
-5.265355,1350.5466,NaN
